Month,Hour,DayOfWeek,Holiday,Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,EnergyConsumption
6,6,2,0,27.207351214918,42.8072756575654,1052.17027259248,7,1,1,24.6985206786017,81.4655137898745
8,22,3,0,20.2718253406901,43.9686153188899,1490.09698176874,0,0,1,26.3218549031882,70.6286528395486
10,16,0,1,23.3976520197473,59.969085,1646.34824344485,3,0,0,20.785504143532,76.9427405166745
9,22,5,1,27.6577401920412,42.6919667808685,1813.14919562218,2,1,1,24.4032012361984,78.7927989775323
1,22,0,0,26.0749415821237,35.5173208794152,1531.88531604407,6,0,1,6.31920059897801,84.0316898275803
4,19,5,0,22.7330765608855,47.5644101963629,1096.68865497316,4,0,0,20.2704583487793,75.2126320979642
4,18,6,0,20.5358457264124,48.8830876950564,1999.982252,6,0,1,27.893884591531,74.1364050787626
3,6,4,0,23.7303812823723,37.7988359603944,1369.54219871945,8,1,0,29.965327,74.3266464829507
4,12,4,1,29.998671,43.603809848073,1762.93491261085,4,1,1,27.9847631804408,72.4525708200089
6,11,1,0,23.3075141590109,30.5774176148216,1469.92349841562,0,1,1,14.2186930833864,64.7089000772348
6,17,2,1,27.8860685896992,59.969085,1999.982252,7,0,1,9.35307977589075,82.8434504377857
5,21,1,1,27.5746887287097,57.9907257364081,1755.62909539651,6,1,0,20.0155546142089,80.7813336981631
3,23,3,1,27.6372412453148,49.7989547384075,1075.5129947345,1,0,0,25.928547150078,70.1107174871642
4,22,0,0,24.8185767614091,39.9565320588224,1380.78873942199,0,1,1,29.965327,99.20112
7,21,0,1,27.8927737644803,56.3636067826799,1143.95186506313,9,0,0,28.0846052174821,82.309890591731
1,8,0,0,22.1708887349205,41.1006284660801,1336.84928710932,4,0,1,18.7263048450059,67.6376406529141
6,5,4,1,25.447078320321,48.0432362251811,1657.26477405457,8,0,0,28.2821880015209,83.3527628995923
12,12,4,1,28.6546831145399,30.015975,1359.63881067808,0,0,1,11.9333479565021,81.6086002508703
5,4,3,1,23.9054820870646,45.9500779229026,1000.512661,8,0,0,10.4987325765747,76.3370279131569
4,11,5,1,29.998671,47.5919763337772,1999.982252,8,0,0,21.4234694330652,71.8612106629514
7,2,0,0,27.5888122308109,46.0641913464894,1215.37349696378,9,0,1,15.265539443552,86.4213226665276
6,12,5,1,23.101944829901,51.5242944901585,1414.59157793967,9,1,0,2.78996731563783,61.721967038578
7,10,4,0,24.698979635345,30.8065200408828,1846.08608692598,8,0,0,29.2670018931684,86.2653113008604
7,4,4,1,25.3870048054915,30.5644501483405,1523.04081180278,4,1,1,0.338165363526359,79.6206747681657
12,22,2,0,23.6194877481955,45.3809687495699,1679.67285048503,1,1,1,8.83974614434531,75.8571230150555
8,20,2,0,28.8145054449164,57.9580222649217,1149.49061883464,4,1,0,22.2933734385056,88.4543009482682
4,9,4,1,26.8166548326137,39.3875004255182,1809.49069155848,0,0,1,12.290134012923,67.5284309883474
1,7,3,0,20.8334916104975,51.1470070180143,1096.70312806797,1,1,0,21.8651003507972,70.3081719257998
2,1,6,0,29.6079427834093,53.4825263070003,1458.12578511658,0,1,0,11.7334164759821,90.2797941784363
3,19,0,0,24.1291971651829,40.1327310975484,1819.03968695246,3,0,0,9.98843143240913,80.6585858260308
5,9,4,1,29.2886388830811,39.6505859529903,1030.73622204933,3,0,0,29.965327,84.7460203914333
3,18,2,0,29.8418695406651,32.2830163335694,1799.40150023422,9,1,1,19.7613813843967,91.8374771107995
1,21,4,0,24.0478238279804,54.5872342714922,1758.41835872632,8,1,0,14.1622465420932,83.2193950399079
12,18,6,0,21.4947193466872,51.5053825518606,1817.0646491142,6,0,1,0.635819283363053,66.368261939221
5,9,6,0,21.0459136638243,49.0388917229602,1019.27939707085,3,1,1,17.1619062083693,80.9391463945388
8,10,5,1,23.2246631361791,54.2594974514782,1517.03181882646,2,1,0,24.2110942677226,71.7927580285343
1,15,0,1,21.301694072066,45.6161485971046,1290.28695761926,7,0,0,4.4198667036974,63.5821387501397
1,13,3,0,23.8524351596789,34.3885256484237,1829.157054253,1,0,1,1.06688983527294,72.4311271290806
7,3,6,1,20.007565,30.015975,1668.3503448476,5,0,1,13.3814743796882,62.4852810671314
8,7,4,1,25.2001331545087,32.6886591142536,1118.44033330378,4,0,0,14.5166087015514,79.0496499511765
10,22,0,0,29.998671,40.3680941338657,1039.46428774869,9,0,0,21.9986981474177,89.9176457633949
1,17,4,1,29.0732745602697,55.4868864448377,1914.45212858553,0,1,0,6.27150660449027,79.7663741956699
9,9,3,1,25.0515601778873,56.244807439984,1000.512661,4,0,1,18.1604749467163,85.7273487762611
6,9,3,0,27.972984404373,59.5456292994036,1421.69769118821,9,1,0,11.7756371139381,86.7777953960822
3,10,6,0,20.007565,42.2538802533673,1797.82001318024,0,0,0,29.965327,69.7880892058584
2,3,2,1,28.450559239073,32.8490305312279,1152.23241291674,2,1,0,4.75840305800012,77.5148050012858
10,8,4,0,24.4526245690033,59.969085,1448.90279138228,8,1,0,29.965327,68.2801772264532
6,7,1,0,23.3180467984311,32.4571317462508,1063.7995206856,0,0,0,5.2818507467148,78.314105472859
1,19,3,0,24.4803593035657,56.39299101425,1184.70110700614,7,0,1,5.72859097240961,71.9381496984343
10,14,3,0,27.0242867030582,48.4568489759968,1301.69181760057,9,0,1,24.9902082355177,82.9348340969464
1,7,2,1,24.7567777896276,51.3000511734375,1595.43705541825,4,1,0,25.8967877809809,84.9597116248208
1,13,1,1,28.788470094804,54.5805315680393,1838.15014373002,3,1,1,18.9961504653186,83.0243540344661
8,8,4,1,29.998671,54.8813173703295,1999.982252,9,1,0,22.5038347052062,88.6579045131956
11,0,5,1,20.7548993962819,40.4707308391935,1050.7284767411,4,0,0,27.1266023489535,81.4220748594135
1,8,2,1,21.1459904968845,48.9670151685187,1556.13537354343,7,1,0,26.6715201535398,69.6231992509712
1,12,2,0,25.6731837983441,55.4373001777192,1353.51969769264,0,0,0,14.2552474412417,75.4103158603609
11,23,3,0,21.7053422600667,36.352100457436,1497.16915796394,2,1,1,9.56035259498941,66.0831318236903
6,7,0,1,20.3064166571873,37.842337216744,1369.85680210687,2,0,0,22.6624944523304,65.7271632952298
6,20,1,0,24.0575511577675,53.305090484675,1127.1621466082,4,1,1,2.2173881826887,77.0315356779876
11,9,0,0,26.1885878883859,34.7218918009089,1566.54319851402,1,1,1,19.7181405911898,66.7909740500231
1,14,6,0,25.3044648858748,48.4395118578353,1886.21832844559,1,1,0,5.68941541418045,65.4454280199274
9,14,6,0,21.8198736411571,43.057302634378,1528.91985611666,5,1,1,13.3884148121392,61.8081726397098
12,13,4,1,25.7073085420096,59.969085,1332.26465386654,7,1,0,0.006642,86.19343119545
1,0,6,0,26.6348320865082,59.3568241087418,1254.55319704182,1,0,0,9.95170814544708,77.0405688493452
1,1,4,1,28.3038918864365,46.0321744103616,1085.15003009534,3,1,1,15.7842057295152,94.1785181104891
3,0,2,1,23.7760025084323,34.3240305541558,1096.50404491376,6,0,0,14.7345720546962,83.3050940023729
1,7,3,1,22.0397772134328,33.4608652026134,1991.13166273248,7,0,0,4.57097014755567,64.7921717310459
9,23,0,0,24.2280808898189,51.0055526261206,1189.1972730821,5,1,0,3.77651309402057,78.067061517833
1,20,2,1,24.3419766082713,43.5384692119908,1332.28741861197,3,1,0,24.9522760539859,76.76832119015
5,13,2,1,21.4085019386068,49.1558777868425,1800.07108260384,9,1,0,4.07289094540683,68.7209313531158
10,7,0,1,25.6063979381855,49.9821474714125,1406.11286653296,9,1,0,6.18346216499886,68.7389391735948
5,22,2,0,27.1608476440073,39.1822414501737,1650.30462770346,7,0,0,29.965327,88.8484034845656
1,6,6,1,23.3498643947543,33.0984636095461,1721.52127757647,3,1,1,5.52454406348578,76.6397294517093
4,5,6,1,21.5883779525096,57.1893062809895,1629.48171684199,5,1,1,25.6177113687107,76.1808349454418
10,4,4,0,21.6367820142659,51.9986638350336,1442.17432179094,5,1,0,26.0785212128844,84.0247047612865
5,8,3,0,26.355172492302,48.2952715152138,1500.67637842292,8,0,1,29.965327,65.3017769150403
10,7,4,0,20.7430146189045,50.106602729852,1224.71069320992,1,0,1,17.3052969891083,60.0215945954113
1,15,6,0,29.2570243244667,38.1842669913776,1293.97397950201,1,0,1,21.1629850366875,85.3604030681206
6,15,1,0,24.0116105493321,40.8433964070315,1770.30253578926,0,1,1,27.5066263138647,76.9037434862148
1,4,1,0,20.957066151123,54.457415607357,1801.36061105913,6,1,0,20.8817906589212,75.1763655480666
1,3,4,0,26.2756983712151,30.535389868038,1152.175048516,5,0,0,12.9844900079222,73.8883680442692
3,0,1,1,20.78667030008,57.3884892738095,1000.512661,0,1,0,24.2959426251659,84.9136634403337
8,16,2,1,22.2804643506045,41.2556170835708,1000.512661,8,1,0,0.006642,81.8560548998603
6,4,5,0,25.3938082807058,30.015975,1917.12010468542,8,0,1,22.5254359029677,92.5434107247895
2,22,6,0,22.7172997231896,34.6863979981708,1959.06988313264,6,0,1,21.7978889286616,71.4004211637868
11,0,5,1,26.3709045974897,41.6228531620123,1379.7006253533,4,1,1,26.430583072285,74.2755173162955
1,5,4,0,29.1912594277,55.3272884911832,1398.69568705665,3,0,1,26.7756688723838,83.4123108236256
11,16,3,1,20.6128156483955,43.4812073114397,1479.99541446959,8,0,1,16.8917614047435,76.310215070992
1,23,3,1,25.325159742225,44.7671300803367,1083.10657972228,3,1,1,6.77727058258462,85.3936602713866
8,11,6,0,20.007565,43.508800315628,1738.41735225833,1,1,0,29.965327,79.7052700312058
4,19,0,0,22.3303806112064,50.5568764137452,1634.96518160228,4,1,0,7.47342138449932,64.6124358903974
1,6,3,1,28.0003363901127,57.8039900271398,1291.7759539679,7,1,1,5.30408892437931,90.0115928429935
6,9,5,0,24.8175015122878,49.2672881054394,1000.512661,6,1,0,14.7011699550624,80.4541221793717
1,18,1,1,22.2346455664756,47.2299882831905,1855.5026675111,3,0,0,25.9874649015315,60.5414596218435
10,11,5,0,22.50541005721,47.2524776506298,1211.95849588207,6,1,1,0.006642,76.3746660846584
10,19,1,0,23.1048191940051,45.3504077821457,1654.33842066634,3,1,1,12.470220385813,64.0094065844926
12,5,0,0,25.2816670254317,57.1437578894607,1862.54280916526,3,0,1,14.7435723852541,73.444867196014
5,5,2,0,24.126853186023,30.6505267115263,1753.25215734092,3,1,0,22.513034259425,67.3010840114982
7,3,5,0,29.997440629097,36.4469561091531,1004.91233266319,2,0,1,21.0418442681637,88.8545811812907
11,16,3,0,20.007565,33.6621127185423,1140.04941844039,6,1,1,27.5119761179047,67.3941825085935
1,2,0,0,26.7481431138106,31.9002541505974,1562.89037297769,2,0,1,11.3064509240354,66.3371410867169
1,12,3,0,22.6596190665923,45.5519753913473,1173.1406491431,6,1,0,10.9305421244304,77.8473381758375
4,21,0,0,29.6951573984825,39.2096681214953,1532.15410030008,9,0,0,29.045518034897,97.8993040441292
11,20,1,1,23.7634217760404,49.485890859358,1780.96773474255,6,0,1,25.9584000104251,82.1189525839531
8,15,1,1,27.7210558794586,38.7235110273624,1398.7320474808,0,1,1,3.78606162780881,82.5882657755742
6,13,3,0,26.0297032186967,59.141480599635,1177.537599637,2,1,0,14.0520469184197,64.3536652385373
4,3,3,1,29.998671,55.89581608299,1869.64627532836,9,1,0,19.2924669619954,82.7313721097595
1,2,0,0,27.7070119145081,30.1972598134695,1856.87594927091,2,1,0,25.9903873625823,84.4921967679243
9,15,3,1,23.521805769119,30.015975,1832.98471943915,1,0,0,3.28867386860848,69.7097233441204
12,21,0,1,29.998671,30.015975,1914.27845997847,5,0,1,29.965327,97.2009739281009
1,17,6,0,24.7413036141944,38.0214471581385,1896.9408769455,2,1,1,23.2328810237532,87.7480046006913
2,0,4,1,26.8247600171826,44.4803181327799,1639.72457009033,0,0,1,20.6416848080586,69.9896271416063
7,0,4,1,21.3741227708113,33.9726070912466,1268.08002725459,9,0,1,29.965327,66.3923349143566
9,20,6,0,29.998671,34.2387457891353,1738.82914567603,5,1,1,20.52162336836,88.2022937520508
4,5,5,1,25.5301610482391,39.9141200679289,1039.3040360992,1,1,0,12.1585345186036,73.6590982214829
8,11,0,0,20.007565,48.0887833518286,1000.512661,9,0,0,21.5041162065586,57.5730295234096
12,1,2,1,25.802871722451,41.7988285124275,1793.65868554163,6,0,0,8.33407910915655,53.263278
5,18,1,1,23.5198047145326,57.5731436020042,1476.5282669133,2,0,0,17.3025002881723,61.7918672739529
8,18,6,1,23.8682079287236,42.6425469185024,1560.61954911559,4,0,1,18.3122161030959,70.5070900649519
8,1,3,1,20.0643613186206,36.4483087573529,1735.91916979943,9,0,1,18.5439984405491,91.402886194883
9,9,5,0,29.998671,39.6827566904209,1580.44197886263,6,1,1,5.77762584868178,97.1746790240824
11,15,6,1,20.007565,59.969085,1243.6205183276,4,1,0,18.7137094100444,84.8929407407143
5,9,4,0,26.7268924124946,31.1082330686939,1285.15164181063,0,1,1,16.0601923570679,83.5845090185352
5,14,0,0,26.4337271442316,44.6074235703287,1540.76405718294,9,0,1,29.965327,99.20112
3,22,3,1,24.1992353674017,51.3179979256607,1611.29720716821,5,0,1,29.965327,65.7987593406261
10,22,6,1,28.3231782224743,43.1068559131072,1366.29771318205,7,0,0,23.6230398012226,79.0092973397241
12,17,2,0,20.007565,54.7702170078174,1193.91693714086,4,0,0,14.6965791895582,66.186702156218
12,9,4,0,29.3374540102012,30.015975,1633.83022410476,1,1,0,13.2724743233147,69.0578451949861
10,3,5,1,27.1500905890452,52.3876798827319,1138.92433265076,4,0,0,14.3925833645688,87.4146312707162
8,10,3,1,27.1356110844349,59.969085,1717.99459044793,5,0,1,13.7513859982127,78.5890509028118
5,8,4,0,29.998671,59.4155488464069,1972.52378015021,0,0,0,18.3909899678578,85.5607314117413
6,21,0,0,23.2925829522931,46.0521591446699,1927.1937848402,8,1,1,8.40536926558808,69.6007596000292
10,20,6,1,20.7646407146446,30.5721667595433,1414.41047366651,1,1,1,15.2227368118255,83.0998460388499
11,8,0,0,25.2087171785417,47.5113540287088,1009.79199853807,7,0,0,12.9821004615529,77.6207285264452
5,14,6,0,23.3929914452675,42.3320863649925,1329.51891095943,3,0,1,15.7787553478414,72.7442351650649
4,12,6,0,27.1244159685087,48.2574945237725,1971.9255907078,4,1,1,0.006642,66.0137659996041
2,21,6,1,24.1810851135489,50.4767901455631,1871.14840460865,9,0,1,20.2516797036385,81.7430515238116
9,0,1,0,26.7003961779653,35.2511115931523,1867.40513500888,6,0,1,21.1603195624142,88.4686342261229
5,0,1,0,20.1288473769597,53.9416916932707,1499.53589979634,4,0,0,8.37032923897883,63.7771346824503
7,14,6,0,23.7781635613125,33.5426074078749,1871.5277017929,4,1,1,29.103835942858,62.1097333450935
2,7,3,0,28.3577187560925,42.0981557504148,1974.8436602877,3,1,0,14.9129721259958,93.3811540803136
8,4,3,0,25.3927038308621,56.5747279664302,1081.14149865161,4,1,0,29.965327,72.9363701660314
10,0,1,0,29.998671,50.340806400221,1173.49674129611,1,0,0,1.48229048647333,79.8717067794935
1,1,5,1,25.7925115258151,33.8922158750372,1849.82958110872,7,1,0,25.8759694755232,84.1914674081221
4,22,1,0,20.3528488814979,51.0550694953849,1000.512661,9,0,1,0.006642,77.4169902594931
4,16,3,0,29.998671,30.015975,1937.23489785157,0,0,1,29.2418328379034,71.5599001165067
11,20,3,0,23.7419162547296,55.2100037235209,1576.67700440734,2,0,1,29.965327,79.6107584680125
12,13,3,1,25.9889076526437,43.9576193898728,1293.2399235397,0,0,0,25.4504203177621,74.708729576244
11,13,0,1,20.007565,59.46304863284,1049.04685883056,2,0,1,18.206192883341,69.3716013321894
11,13,3,0,24.2808492274251,33.9317460946843,1999.982252,5,1,1,28.1390601302924,69.2657243101423
10,21,4,0,23.9574407510696,40.9589024126728,1358.81613646164,5,1,0,18.4291190089292,64.2056018204451
6,12,5,1,26.3146102581482,41.8512299297467,1066.08598209217,2,0,1,10.9166582517781,72.1809221086165
8,13,4,0,20.007565,41.8233595032885,1241.09021536277,2,1,0,0.006642,89.4565235244048
6,1,2,0,24.469082786463,41.6184300230517,1027.08285374972,6,0,0,18.0158276552077,73.1871128444474
1,14,0,1,21.9322345544362,32.2332083754624,1680.82043297273,4,0,0,10.3806007777938,69.009077149243
8,3,2,0,25.9325534210997,30.015975,1128.98693568555,9,0,1,16.5392026561037,87.6668670858275
11,2,1,1,27.9608677026799,30.2930145787389,1931.58221385942,3,1,0,22.5500538183631,92.5431055871108
11,20,3,1,21.4502874374422,41.8205935926389,1845.75374775164,1,0,1,10.6093980290867,82.6563725369653
3,8,6,0,21.7706476776467,41.0614578389361,1660.3716255961,1,0,1,22.5921465684743,67.8117989686351
9,7,2,0,20.6385309958746,49.2352347174185,1522.36426780878,9,1,1,4.97209460795154,67.8598236857156
4,15,1,0,26.2597600414858,40.5443399496767,1952.0115480221,8,1,1,29.965327,89.9220037198535
12,17,4,0,26.841968564271,59.969085,1723.13681018319,9,1,1,13.6292245823266,81.1083264424031
6,22,3,0,27.6580932821575,41.959536648775,1563.28948407571,0,0,1,0.006642,86.0640281735676
9,19,6,0,26.3853372175107,39.1022155209611,1397.8227565669,7,0,1,4.58816287042239,82.9211399017251
1,18,6,0,23.1018687529818,34.1006837911663,1769.08919624195,6,0,0,24.7243343854936,62.1121358048649
4,20,4,0,28.853298971247,59.969085,1276.59204289885,1,1,0,9.55986290232221,69.7019353885648
9,18,6,0,20.007565,59.969085,1611.45039844241,6,1,1,21.6186348187346,58.5431158497659
5,20,4,1,26.5799651977698,47.6819617413376,1855.36628691095,1,1,1,25.2860545468573,77.5710045293566
3,7,2,0,29.998671,54.3910444858531,1743.15557005981,7,1,1,22.9550157479686,91.501166553311
5,13,0,0,27.765698905331,49.0034882027756,1534.83774016105,9,1,0,13.4119425817374,87.1909778411826
9,12,3,1,22.9440061546298,52.19024307529,1449.43726596053,1,1,1,0.006642,62.9015366348448
2,5,3,1,26.3365280203696,38.5767125260028,1351.89437231194,2,0,0,4.68932667610832,71.3976085144148
7,12,2,0,25.6646491177105,41.9576995556293,1639.78811749317,3,0,0,29.484504331514,97.3265838706808
3,19,5,0,23.1864523934723,52.6500797475402,1815.33738264849,6,1,1,28.3973962788756,70.4790858412501
3,23,3,1,25.2654124150457,59.969085,1397.72462518013,5,0,0,20.8726730054127,77.0030035782588
1,20,2,0,26.6413260488732,55.2626200646803,1004.80544046768,8,0,0,15.1061506980376,83.1877062377995
3,10,2,0,21.969787719146,58.3970383781418,1848.44083401549,9,0,1,29.965327,83.7995314154643
7,19,6,0,22.2771273122034,51.0303318787456,1324.39154063467,7,1,1,0.006642,66.2444746189204
8,17,5,1,26.3356679082668,35.2561252827056,1486.24270507714,2,0,0,18.7809947602131,81.5842411184288
4,10,3,0,25.2108450885626,59.0700924751192,1354.6715173867,2,0,1,13.2527453398944,70.1233190891675
9,2,4,0,29.215557399135,34.5431866001557,1254.97253850203,0,1,0,15.7960529258973,80.3496677754452
12,19,1,0,20.5930228730916,46.7311838233132,1128.6756019533,3,0,1,0.006642,78.3281374374863
11,4,3,0,25.376002279968,52.2335398876304,1000.512661,4,0,1,7.47849359730814,84.836711901962
9,6,4,0,22.5525631830426,44.8117196226938,1804.61933225322,2,1,0,18.3209116552836,76.0662630202094
3,14,5,1,20.007565,43.2920805195294,1139.78798518672,9,0,0,13.4806453245213,64.2619112078609
8,4,6,1,20.007565,59.969085,1444.12808592034,6,1,0,1.70970456943146,75.8393337373679
1,20,0,1,24.7542161202637,54.1008090587503,1314.10900987586,0,0,0,1.2121656477494,66.833389508342
9,20,5,1,25.1068409924117,51.4599550963822,1205.4092809437,3,0,0,24.3672731647106,84.2802935286225
9,20,0,1,24.7245992375107,51.436508736513,1490.13045332018,2,0,0,19.6015909270643,62.8019806055793
7,2,5,0,25.6070436195517,30.015975,1000.512661,5,1,1,5.98497600561725,90.8603480722173
9,11,6,1,24.6623567226818,49.9062321668366,1716.374520104,8,0,0,9.70511153322714,76.7229978611283
4,2,3,1,28.2907743849854,55.6250314151898,1165.74352639434,0,0,1,24.9855047684998,87.5765733938067
3,13,4,1,22.1688671866544,52.4233842289611,1495.14947350959,7,1,0,24.9362982866095,72.7006867238754
5,14,4,1,20.007565,50.925385940093,1153.95407423064,4,1,1,21.7671555542348,68.4595458542045
9,9,2,0,22.8567877756854,59.969085,1675.15984356995,2,0,0,27.4206533585391,86.3982199582997
8,9,5,1,23.5512297609729,49.9046677812034,1000.512661,2,0,1,8.99766032044412,77.6655848905131
8,12,2,1,23.2845636965833,59.3276949215144,1000.512661,9,1,1,10.6757856573473,70.0180996183243
4,23,3,1,24.1004145909616,30.015975,1306.64253308825,6,0,0,9.75586951183136,83.589259889731
1,13,6,1,23.1452956234538,47.3569410680721,1452.72640272264,7,0,1,29.3819360756694,70.6791660159158
6,10,4,1,20.007565,35.6223630779033,1209.92408320691,5,0,0,20.1258139377102,69.5138216250354
1,20,6,0,25.4804524589169,58.3945143772312,1098.49578765218,9,1,0,23.087514243507,87.8886308127343
4,6,2,1,24.4429279060967,32.127828651614,1337.1599736514,8,0,0,2.70685736726142,73.844969328476
11,4,6,0,23.4651778672452,57.6493274160385,1134.78051272239,7,0,0,0.006642,78.5747792139877
7,7,4,0,26.7981833427937,59.969085,1265.51115723263,3,1,0,25.4941322739564,65.8467412700201
1,14,2,1,26.7315247818052,37.297870449611,1419.74901379652,6,0,0,12.0742231422167,81.1831875624635
9,17,2,0,25.4888944252722,35.0441492729182,1063.1989606515,2,1,0,12.4005620161904,77.017832181732
2,9,6,0,24.54524302811,46.3244944557886,1776.67001852993,6,0,0,28.8855581491481,79.8130611608758
1,7,5,1,29.6598840788089,34.0422857672517,1568.19263397717,4,1,0,24.6462462796545,92.5212114654657
12,21,6,0,28.8871031890507,43.5785016563937,1117.76053052259,7,1,1,29.965327,99.20112
1,0,3,0,25.0150988919746,39.8048580163982,1151.8399204655,1,1,0,18.0568806242104,78.273080862225
12,20,2,1,24.5371947021762,54.5159471480992,1812.94395060263,1,0,0,29.965327,70.3500260656491
4,0,1,0,26.545875005106,30.015975,1821.50425955541,5,0,1,24.6369960114657,98.4627166278985
6,9,4,0,23.6244808345152,50.5386075766299,1230.11561014042,4,0,0,29.965327,69.5590376390479
10,0,1,0,28.1836176282115,43.4025102691369,1781.40706733648,0,1,1,0.006642,77.3588341316642
8,20,1,1,27.2873597691948,52.0887039387194,1150.94523011813,0,1,0,20.3058559580248,68.2733740912315
6,20,0,0,24.5929793895643,47.8709410422051,1932.22059075892,4,1,0,21.7544856799466,82.1520696349543
11,15,5,0,26.4529977131674,40.4473219591111,1620.77664999907,1,0,0,0.006642,66.1808666908987
10,19,2,1,22.1535281479234,32.8117463588859,1865.41648533508,6,1,0,9.68208293938882,77.5092268329106
12,5,5,0,23.5770966984203,42.8900748978418,1538.60000421028,9,0,0,29.965327,80.3347850247018
8,6,1,0,21.7172474382611,53.623224492168,1758.56767938652,2,1,1,24.4174440840466,61.3090683674748
1,10,0,1,29.2548334984077,41.2364493158392,1603.61323868639,7,0,1,3.42699000535584,88.3212163234442
2,22,2,1,29.7409147851296,34.1170497916539,1922.88282382262,5,1,1,28.4394881520495,96.1293055420651
4,6,4,0,20.007565,37.0475863853746,1000.512661,6,1,1,24.0540607108265,79.4360763377157
10,22,1,1,22.1578676535621,45.4168610207076,1424.91009283712,0,1,1,12.9543027552683,73.555340674695
11,17,3,1,29.8857242624954,49.1110159125356,1945.63628269269,5,0,0,9.44857399215845,70.2885350236191
6,15,5,1,29.7351668471497,50.2772130353956,1591.26589330036,7,0,1,4.87353256861278,86.6705853809095
11,23,2,0,29.998671,48.163901836608,1668.31439980364,1,0,0,27.5276946257424,99.20112
1,2,2,0,25.9890153126855,33.4729089236819,1303.0094985812,7,1,0,12.9209711898946,79.5499242780921
7,15,1,0,25.4629792110646,49.356129571912,1843.27972919914,2,1,0,19.7639204396332,81.9591649597078
7,2,6,1,24.1980209125302,51.9812196725095,1559.28258869933,4,0,1,28.1276093095742,81.6225450441288
5,7,4,1,27.4951834239094,43.3976527835208,1389.44488267294,7,0,0,24.8725390952798,72.5633481037137
3,20,2,1,21.6138349553007,46.5967345976329,1312.00071553666,0,0,0,20.4003583817542,77.7091446428166
